fio,birthdate,group,gpa
Смирнов Александр,2003-09-12,БИВТ-22-1,4.2
Козлова Екатерина,2004-06-15,БИВТ-22-1,4.0
Волков Дмитрий,2003-02-28,БИВТ-22-2,4.7
Лебедева София,2004-08-22,БИВТ-22-2,3.8
Соловьёв Михаил,2003-11-05,БИВТ-22-3,4.9
Павлова Виктория,2002-12-18,БИВТ-22-3,3.5
Медведев Артём,2003-04-07,БИВТ-23-1,4.1
Антонова Алина,2004-01-30,БИВТ-23-1,4.6
Тихонов Владислав,2003-07-14,БИВТ-23-2,3.9
Филиппова Ксения,2004-10-08,БИВТ-23-2,4.3
Никитин Илья,2003-03-25,БИВТ-23-3,4.8
Макарова Юлия,2002-05-19,БИВТ-23-3,3.2
Захаров Кирилл,2003-08-11,БИВТ-24-1,4.4
Семёнова Дарья,2004-02-14,БИВТ-24-1,4.7
Борисов Максим,2003-12-03,БИВТ-24-2,3.7
Ковалёва Анастасия,2004-09-27,БИВТ-24-2,4.5
Герасимов Евгений,2003-06-09,БИВТ-24-3,4.0
Орлова Полина,2004-04-16,БИВТ-24-3,4.9
Давыдов Константин,2003-01-22,БИВТ-25-1,3.6
Жукова Елизавета,2004-07-04,БИВТ-25-1,4.2
